N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT,edwLoadDate
0,ALGERIA,0, haggle. carefully final deposits detect slyly agai,01-01-2026
1,ARGENTINA,1,al foxes promise slyly according to the regular accounts. bold requests alon,01-01-2026
2,BRAZIL,1,y alongside of the pending deposits. carefully special packages are about the ironic forges. slyly special ,01-01-2026
3,CANADA,1,"eas hang ironic, silent packages. slyly regular packages are furiously over the tithes. fluffily bold",01-01-2026
4,EGYPT,4,y above the carefully unusual theodolites. final dugouts are quickly across the furiously regular d,01-01-2026
5,ETHIOPIA,0,ven packages wake quickly. regu,01-01-2026
6,FRANCE,3,"refully final requests. regular, ironi",01-01-2026
7,GERMANY,3,"l platelets. regular accounts x-ray: unusual, regular acco",01-01-2026
8,INDIA,2,ss excuses cajole slyly across the packages. deposits print aroun,01-01-2026
9,INDONESIA,2, slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull,01-01-2026
10,IRAN,4,efully alongside of the slyly final dependencies. ,01-01-2026
11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,01-01-2026
12,JAPAN,2,"ously. final, express gifts cajole a",01-01-2026
13,JORDAN,4,ic deposits are blithely about the carefully regular pa,01-01-2026
14,KENYA,0," pending excuses haggle furiously deposits. pending, express pinto beans wake fluffily past t",01-01-2026
15,MOROCCO,0,rns. blithely bold courts among the closely regular packages use furiously bold platelets?,01-01-2026
16,MOZAMBIQUE,0,"s. ironic, unusual asymptotes wake blithely r",01-01-2026
17,PERU,1,platelets. blithely pending dependencies use fluffily across the even pinto beans. carefully silent accoun,01-01-2026
18,CHINA,2,c dependencies. furiously express notornis sleep slyly regular accounts. ideas sleep. depos,01-01-2026
19,ROMANIA,3,ular asymptotes are about the furious multipliers. express dependencies nag above the ironically ironic account,01-01-2026
20,SAUDI ARABIA,4,ts. silent requests haggle. closely express packages sleep across the blithely,01-01-2026
21,VIETNAM,2,"hely enticingly express accounts. even, final ",01-01-2026
22,RUSSIA,3, requests against the platelets use never according to the quickly regular pint,01-01-2026
23,UNITED KINGDOM,3,eans boost carefully special requests. accounts are. carefull,01-01-2026
24,UNITED STATES,1,y final packages. slow foxes cajole quickly. quickly silent platelets breach ironic accounts. unusual pinto be,01-01-2026
