O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,edwLoadDate
3000001,145618,F,30175.88,1992-12-17,4-NOT SPECIFIED,Clerk#000000141,0,l packages. furiously careful instructions grow furi,01-01-2026
3000002,1481,O,297999.63,1995-07-28,1-URGENT,Clerk#000000547,0,carefully unusual dependencie,01-01-2026
3000003,127432,O,345438.38,1997-11-04,5-LOW,Clerk#000000488,0,n packages boost slyly bold deposits. deposits around the ironic th,01-01-2026
3000004,47423,O,135965.53,1996-06-13,4-NOT SPECIFIED,Clerk#000000004,0,nts wake carefully final decoys. quickly final accounts wake ,01-01-2026
3000005,84973,F,209937.09,1992-09-12,5-LOW,Clerk#000000030,0,yly after the quickly unusual ide,01-01-2026
3000006,135136,O,140186.32,1996-09-26,1-URGENT,Clerk#000000726,0,"ronic pinto beans use furiously final, slow notorn",01-01-2026
3000007,78841,F,298655.07,1992-04-13,5-LOW,Clerk#000000871,0,ses eat. deposits wake,01-01-2026
3000032,124576,F,175973.90,1992-03-02,1-URGENT,Clerk#000000460,0,lar deposits mold carefully against the dep,01-01-2026
3000033,30247,F,4635.38,1993-11-10,1-URGENT,Clerk#000000923,0,mes special packages nag quickly. ,01-01-2026
3000034,5498,F,348308.79,1992-04-21,1-URGENT,Clerk#000000418,0,"lly final packages are slyly beyond the requests! regular, even courts r",01-01-2026
3000035,1537,O,6243.05,1997-03-08,5-LOW,Clerk#000000817,0,fluffily ironic platelets sl,01-01-2026
3000036,28564,F,46059.51,1994-03-24,5-LOW,Clerk#000000908,0,"ding dinos. final, ironic dependencies across the ",01-01-2026
3000037,46702,O,191224.65,1998-07-22,5-LOW,Clerk#000000004,0,"ix slyly. bold, bold foxes haggle alongside of the slyly pending ideas. ",01-01-2026
3000038,106394,O,108690.62,1995-08-02,3-MEDIUM,Clerk#000000112,0," ironic, bold foxes nag quickly regula",01-01-2026
3000039,4087,F,149059.48,1993-05-15,1-URGENT,Clerk#000000518,0, packages according to ,01-01-2026
3000064,121798,O,60227.84,1997-11-09,2-HIGH,Clerk#000000477,0,he permanently express excuses. fluffily even foxes use ,01-01-2026
3000065,4583,O,119144.10,1995-06-21,3-MEDIUM,Clerk#000000640,0,"lyly fluffily even packages. special, ironic deposits w",01-01-2026
3000066,63059,O,50318.82,1995-06-20,5-LOW,Clerk#000000476,0,ages. accounts sleep quickly. unusual attainments around the carefully ,01-01-2026
3000067,71731,O,252017.25,1995-11-29,3-MEDIUM,Clerk#000000981,0, even asymptotes are after the instructions. furi,01-01-2026
3000068,30478,O,83440.47,1996-04-30,3-MEDIUM,Clerk#000000394,0,the even Tiresias cajole upo,01-01-2026
3000069,124780,F,204465.60,1994-01-11,1-URGENT,Clerk#000000549,0,totes cajole quickly. evenly ir,01-01-2026
